Year,District,Baseline Power Consumption (kW),Power Consumption from Chargers (kW),Total Power Consumption (kW),Chargers Added This Year,Total Chargers Placed,Buffer,Spare Capacity (kW)
9,Belconnen,143.28571428571428,24.75,168.03571428571428,11.0,99.0,0.7435208596713021,57.96428571428572
9,Nth CBR & City,154.0,14.75,168.75,7.0,59.0,0.6392045454545454,95.25
9,CBR East,19.285714285714285,0.0,19.285714285714285,0.0,0.0,0.35714285714285715,34.714285714285715
9,South CBR,103.0,6.75,109.75,3.0,27.0,0.9627192982456141,4.25
9,Tugg,143.28571428571428,19.25,162.53571428571428,8.0,77.0,0.7421722113502935,56.46428571428572
9,Gungahlin,70.85714285714286,18.5,89.35714285714286,8.0,74.0,0.6821155943293348,41.64285714285714
9,Woden Valley,103.85714285714286,21.0,124.85714285714286,10.0,84.0,0.8323809523809524,25.14285714285714
10,Belconnen,147.57142857142856,27.5,175.07142857142856,11.0,110.0,0.7746523388116308,50.928571428571445
10,Nth CBR & City,156.5,16.5,173.0,7.0,66.0,0.6553030303030303,91.0
10,CBR East,19.571428571428573,0.0,19.571428571428573,0.0,0.0,0.36243386243386244,34.42857142857143
10,South CBR,103.0,7.5,110.5,3.0,30.0,0.9692982456140351,3.5
10,Tugg,144.57142857142858,21.25,165.82142857142858,8.0,85.0,0.7571754729288976,53.178571428571416
10,Gungahlin,71.21428571428571,20.25,91.46428571428571,7.0,81.0,0.6982006543075245,39.53571428571429
10,Woden Valley,107.21428571428572,23.5,130.71428571428572,10.0,94.0,0.8714285714285714,19.285714285714278
11,Belconnen,151.85714285714286,30.25,182.10714285714286,11.0,121.0,0.8057838179519595,43.89285714285714
11,Nth CBR & City,159.0,18.25,177.25,7.0,73.0,0.6714015151515151,86.75
11,CBR East,19.857142857142858,0.0,19.857142857142858,0.0,0.0,0.36772486772486773,34.14285714285714
11,South CBR,103.0,8.25,111.25,3.0,33.0,0.9758771929824561,2.75
11,Tugg,145.85714285714286,23.25,169.10714285714286,8.0,93.0,0.7721787345075016,49.89285714285714
11,Gungahlin,71.57142857142857,22.0,93.57142857142857,7.0,88.0,0.7142857142857143,37.42857142857143
11,Woden Valley,110.57142857142857,26.25,136.82142857142856,11.0,105.0,0.912142857142857,13.178571428571445
12,Belconnen,156.14285714285714,33.0,189.14285714285714,11.0,132.0,0.8369152970922882,36.85714285714286
12,Nth CBR & City,161.5,20.0,181.5,7.0,80.0,0.6875,82.5
12,CBR East,20.142857142857142,0.0,20.142857142857142,0.0,0.0,0.373015873015873,33.85714285714286
12,South CBR,103.0,9.0,112.0,3.0,36.0,0.9824561403508771,2.0
12,Tugg,147.14285714285714,25.25,172.39285714285714,8.0,101.0,0.7871819960861056,46.60714285714286
12,Gungahlin,71.92857142857143,23.75,95.67857142857143,7.0,95.0,0.7303707742639041,35.32142857142857
12,Woden Valley,113.92857142857143,29.0,142.92857142857144,11.0,116.0,0.952857142857143,7.071428571428555
13,Belconnen,160.42857142857144,36.0,196.42857142857144,12.0,144.0,0.8691529709228825,29.571428571428555
13,Nth CBR & City,164.0,21.75,185.75,7.0,87.0,0.7035984848484849,78.25
13,CBR East,20.428571428571427,0.0,20.428571428571427,0.0,0.0,0.37830687830687826,33.57142857142857
13,South CBR,103.0,9.75,112.75,3.0,39.0,0.9890350877192983,1.25
13,Tugg,148.42857142857142,27.0,175.42857142857142,7.0,108.0,0.8010437051532941,43.571428571428584
13,Gungahlin,72.28571428571429,25.5,97.78571428571429,7.0,102.0,0.7464558342420938,33.21428571428571
13,Woden Valley,117.28571428571428,31.75,149.03571428571428,11.0,127.0,0.9935714285714285,0.9642857142857224
14,Belconnen,164.71428571428572,39.0,203.71428571428572,12.0,156.0,0.9013906447534766,22.285714285714278
14,Nth CBR & City,166.5,23.5,190.0,7.0,94.0,0.7196969696969697,74.0
14,CBR East,20.714285714285715,0.0,20.714285714285715,0.0,0.0,0.3835978835978836,33.285714285714285
14,South CBR,103.0,10.5,113.5,3.0,42.0,0.9956140350877193,0.5
14,Tugg,149.71428571428572,28.75,178.46428571428572,7.0,115.0,0.8149054142204828,40.53571428571428
14,Gungahlin,72.64285714285714,27.25,99.89285714285714,7.0,109.0,0.7625408942202835,31.10714285714286
14,Woden Valley,120.64285714285714,34.5,155.14285714285714,11.0,138.0,1.0342857142857143,-5.142857142857139
15,Belconnen,169.0,42.0,211.0,12.0,168.0,0.9336283185840708,15.0
15,Nth CBR & City,169.0,25.25,194.25,7.0,101.0,0.7357954545454546,69.75
15,CBR East,21.0,0.0,21.0,0.0,0.0,0.3888888888888889,33.0
15,South CBR,103.0,11.25,114.25,3.0,45.0,1.0021929824561404,-0.25
15,Tugg,151.0,30.5,181.5,7.0,122.0,0.8287671232876712,37.5
15,Gungahlin,73.0,29.0,102.0,7.0,116.0,0.7786259541984732,29.0
15,Woden Valley,124.0,37.25,161.25,11.0,149.0,1.075,-11.25
