Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
7,4,Summer,Gungahlin,35.68499636363637,109.24863272727274,7.35,76.2590909090909,3,21,32.989541818181834,785.5,0.8355234069394883,154.6292572727275
7,4,Summer,Woden Valley,38.12544181818182,127.57998727272727,21.7,107.24545454545455,8,62,20.334532727272716,785.5,0.8355234069394883,154.6292572727275
8,4,Winter,Belconnen,49.98212181818182,221.70939454545453,21.7,157.76060606060605,10,62,63.94878848484848,801.6666666666667,0.7594069525999343,253.98164406060596
8,4,Winter,Nth CBR & City,29.45263151515152,257.6223284848485,8.399999999999999,144.4909090909091,3,24,113.13141939393938,801.6666666666667,0.7594069525999343,253.98164406060596
8,4,Winter,CBR East,0.6517543434343435,46.14266343434343,2.8,21.436363636363637,1,8,24.706299797979796,801.6666666666667,0.7594069525999343,253.98164406060596
8,4,Winter,South CBR,14.421323636363637,128.10617212121213,5.6,108.08484848484848,2,16,20.021323636363647,801.6666666666667,0.7594069525999343,253.98164406060596
8,4,Winter,Tugg,39.37326060606061,251.66416969696974,12.6,162.44848484848484,3,36,89.2156848484849,801.6666666666667,0.7594069525999343,253.98164406060596
8,4,Winter,Gungahlin,37.132929494949494,119.56323252525253,8.399999999999999,80.97575757575757,3,24,38.58747494949496,801.6666666666667,0.7594069525999343,253.98164406060596
8,4,Winter,Woden Valley,40.43157636363637,148.13460666666668,24.5,120.62121212121212,8,70,27.51339454545456,801.6666666666667,0.7594069525999343,253.98164406060596
9,5,Summer,Belconnen,52.353170606060615,210.77741303030305,25.2,148.74545454545455,10,72,62.0319584848485,817.8333333333334,0.8356194495611697,160.8817190303032
9,5,Summer,Nth CBR & City,30.981962727272734,221.64862939393942,9.45,151.9348484848485,3,27,69.71378090909093,817.8333333333334,0.8356194495611697,160.8817190303032
9,5,Summer,CBR East,0.6737007070707072,46.49188252525253,3.15,21.119696969696967,1,9,25.37218555555556,817.8333333333334,0.8356194495611697,160.8817190303032
