suburb,coordinates
Belconnen,"(352, 542)"
Nth CBR & City,"(777, 757)"
CBR East,"(1140, 750)"
South CBR,"(763, 1080)"
Tugg,"(617, 1665)"
Gungahlin,"(746, 281)"
Woden Valley,"(589, 1242)"
