Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
4,2,Winter,Nth CBR & City,129.1818181818182,2.8,131.9818181818182,2,8,83.29090909090908,729.9999999999999,0.8896422596691813,90.55454545454575
4,2,Winter,CBR East,18.272727272727273,1.4,19.672727272727272,1,4,24.509090909090915,729.9999999999999,0.8896422596691813,90.55454545454575
4,2,Winter,South CBR,101.63636363636364,1.4,103.03636363636365,1,4,10.599999999999994,729.9999999999999,0.8896422596691813,90.55454545454575
4,2,Winter,Tugg,149.36363636363637,4.199999999999999,153.56363636363636,3,12,52.61818181818185,729.9999999999999,0.8896422596691813,90.55454545454575
4,2,Winter,Gungahlin,72.81818181818181,4.199999999999999,77.01818181818182,3,12,-3.290909090909082,729.9999999999999,0.8896422596691813,90.55454545454575
4,2,Winter,Woden Valley,86.9090909090909,9.799999999999999,96.7090909090909,7,28,1.5636363636363768,729.9999999999999,0.8896422596691813,90.55454545454575
5,3,Summer,Belconnen,116.27272727272727,11.2,127.47272727272727,0,32,20.139393939393955,735.6666666666667,0.9974575658370476,1.875151515151515
5,3,Summer,Nth CBR & City,138.24242424242425,2.8,141.04242424242426,0,8,37.890909090909076,735.6666666666667,0.9974575658370476,1.875151515151515
5,3,Summer,CBR East,17.484848484848484,1.4,18.884848484848483,0,4,25.624242424242432,735.6666666666667,0.9974575658370476,1.875151515151515
5,3,Summer,South CBR,103.0,1.4,104.4,0,4,9.24848484848485,735.6666666666667,0.9974575658370476,1.875151515151515
5,3,Summer,Tugg,135.1818181818182,4.199999999999999,139.38181818181818,0,12,41.127272727272754,735.6666666666667,0.9974575658370476,1.875151515151515
5,3,Summer,Gungahlin,68.60606060606061,4.199999999999999,72.80606060606061,0,12,-3.4969696969696997,735.6666666666667,0.9974575658370476,1.875151515151515
5,3,Summer,Woden Valley,82.6969696969697,9.799999999999999,92.4969696969697,0,28,-7.527272727272731,735.6666666666667,0.9974575658370476,1.875151515151515
6,3,Winter,Belconnen,131.75757575757575,14.0,145.75757575757575,8,40,20.333333333333343,750.0833333333334,0.8898303866144115,92.86757575757588
6,3,Winter,Nth CBR & City,132.63636363636363,3.5,136.13636363636363,2,10,85.58484848484852,750.0833333333334,0.8898303866144115,92.86757575757588
6,3,Winter,CBR East,18.454545454545453,1.75,20.204545454545453,1,5,24.631818181818183,750.0833333333334,0.8898303866144115,92.86757575757588
6,3,Winter,South CBR,102.06060606060606,1.75,103.81060606060606,1,5,9.850000000000009,750.0833333333334,0.8898303866144115,92.86757575757588
6,3,Winter,Tugg,149.6060606060606,5.25,154.8560606060606,3,15,54.380303030303054,750.0833333333334,0.8898303866144115,92.86757575757588
6,3,Winter,Gungahlin,72.6969696969697,5.25,77.9469696969697,3,15,0.13181818181817562,750.0833333333334,0.8898303866144115,92.86757575757588
6,3,Winter,Woden Valley,91.51515151515152,12.25,103.76515151515152,7,35,-0.7772727272727309,750.0833333333334,0.8898303866144115,92.86757575757588
7,4,Summer,Belconnen,119.9090909090909,14.0,133.9090909090909,0,40,19.109090909090924,755.75,0.9963051648593971,2.802727272727452
